id,original_product_id,indian_product_id,match_score,reason,price_comparison,quality_comparison
d71cbe1e-623b-4b8a-8931-9c88f7a31133,7a0093fa-92ef-4a5b-b43d-8b93bfc43cf3,c9253ad4-11bd-4472-8624-e4446dddd010,73,"Similar category (Health & Supplements), comparable features; trusted Indian brand Patanjali.",cheaper,similar
b338e8b5-5d42-45b1-8e87-39e9a3be85dd,7a0093fa-92ef-4a5b-b43d-8b93bfc43cf3,e98b4906-5421-45c5-ac38-289ec68a0c1e,64,"Similar category (Health & Supplements), comparable features; trusted Indian brand MTR Foods.",cheaper,similar
2630e9d0-9a5c-4128-911d-864929dccc69,7a0093fa-92ef-4a5b-b43d-8b93bfc43cf3,317dfda9-e5e8-4cd9-aacf-c12a3ad9363b,64,"Similar category (Health & Supplements), comparable features; trusted Indian brand Haldiram.",cheaper,better
16c5d8a6-9f7a-4df5-8ba2-066017195673,5e188b44-e48c-4a6b-8819-48588f33fc23,3a83537d-f1e0-4a9a-9d46-49f621f025e5,82,"Similar category (Home Decor), comparable features; trusted Indian brand Parle.",cheaper,good
6eb7729a-9b1b-40e0-ad49-18f2ab6ce3fc,5e188b44-e48c-4a6b-8819-48588f33fc23,a73e6e8e-b3aa-47d5-baf4-1c3dd1834761,77,"Similar category (Home Decor), comparable features; trusted Indian brand Bourbon India.",similar,similar
b7e48318-53f9-47d3-bcc8-003913c2d01a,5e188b44-e48c-4a6b-8819-48588f33fc23,b42d9bda-0343-4084-9034-d42ed615eb78,77,"Similar category (Home Decor), comparable features; trusted Indian brand Nyle.",more_expensive,better
fef0db96-9306-49ba-9ffb-d2b65fa54340,b567874d-81c2-4a37-baa8-bcd226c29d38,d843b53a-944a-4ebc-a50c-0b9d8fd81b1f,68,"Similar category (Electronics), comparable features; trusted Indian brand Haldiram.",cheaper,better
1dbd63d0-ea10-4326-aead-9d0c196c2e99,b567874d-81c2-4a37-baa8-bcd226c29d38,4b3870b1-d9e9-4714-b084-76fe6860cd25,71,"Similar category (Electronics), comparable features; trusted Indian brand Khadims.",cheaper,good
bda6956e-0c62-4e08-b74a-5da90c5f1813,b567874d-81c2-4a37-baa8-bcd226c29d38,d4681e2f-25e4-45e5-9d74-b8838501db18,71,"Similar category (Electronics), comparable features; trusted Indian brand Godrej.",cheaper,better
4e16e32d-2f8c-4859-a252-a1e413e02403,ee605d5a-2d14-434a-a40a-7bbfef5ddf1a,ff4658e4-6935-49bc-b9ea-f3d34743aa04,95,"Similar category (Beverage Mix), comparable features; trusted Indian brand Patanjali.",cheaper,good
41e09876-4597-4313-a7f7-a53d613597e1,ee605d5a-2d14-434a-a40a-7bbfef5ddf1a,03ab531e-f689-4186-a324-93a124ba5b9f,74,"Similar category (Beverage Mix), comparable features; trusted Indian brand Emami.",similar,good
edae3111-291d-4d9d-ad83-4825df486bcf,ee605d5a-2d14-434a-a40a-7bbfef5ddf1a,42bcd678-01c6-429e-aeaa-d4139cbc67e3,81,"Similar category (Beverage Mix), comparable features; trusted Indian brand Britannia.",cheaper,better
d90ad798-cb2e-4a03-b6e7-989654b98c17,82aee2bf-434c-4d7b-9bc7-fabbf12b466a,f3611df6-ad6a-44d3-8547-483ed8975b79,81,"Similar category (Kitchen), comparable features; trusted Indian brand Emami.",cheaper,good
6f625941-0c3f-4eea-bcc5-36e4b810b150,82aee2bf-434c-4d7b-9bc7-fabbf12b466a,9e6f520c-8411-47fd-beb8-bf01696d632b,75,"Similar category (Kitchen), comparable features; trusted Indian brand MTR Foods.",cheaper,good
54ff3777-ba0b-4ecf-bd64-8e5ee1e6a60f,82aee2bf-434c-4d7b-9bc7-fabbf12b466a,8451dba2-b8b8-4012-be0c-9e7e54940cce,66,"Similar category (Kitchen), comparable features; trusted Indian brand Vikram.",cheaper,good
a0531204-d970-4bb6-9496-c5ff7afb8ed9,6b2c52b6-1293-4e70-8258-1064ff2e1315,1c3ba690-4cbe-45fb-86e4-6d2d464fd961,76,"Similar category (Food), comparable features; trusted Indian brand Tata.",more_expensive,similar
e3979446-22c8-4dee-b495-10f85f987540,6b2c52b6-1293-4e70-8258-1064ff2e1315,aaecf097-fabd-4b6d-b82a-7533b83a1d40,80,"Similar category (Food), comparable features; trusted Indian brand Micromax.",more_expensive,good
ca9d9630-0ab7-4712-b4ed-ec9c8b451ab0,6b2c52b6-1293-4e70-8258-1064ff2e1315,048f94a7-0350-4897-8e2a-bf723f13abf0,77,"Similar category (Food), comparable features; trusted Indian brand Patanjali.",more_expensive,similar
cdd4c598-a1ce-4c0e-be8a-a6cc6cfbe6b8,f9dcf434-dd9e-41d8-b69d-38bdae88212f,19e02ec3-14c2-43e4-8822-1fc5b068b046,73,"Similar category (Beverage Mix), comparable features; trusted Indian brand Haldiram.",more_expensive,similar
